Name,Gender,Education,Last_Company,Email,LinkedIn,Phone_Number,Nationality,Designation,Degrees,Years_of_Experience,Skills,Path,APPLICANT NAME,ACCEPT/REJECT,REASON
Noor Al-Thani,Female,"Master of Science in Computer Science, Specialization in AI, Qatar University, Doha, Qatar, 2018
Bachelor of Science in Computer Engineering, Qatar University, Doha, Qatar, 2016",Tech Innovate,noor.althani@example.com,linkedin.com/in/nooralthani,+974 5550 1234,Qatari,"NLP/LLMs Developer, Doha AI Solutions.","Master of Science in Computer Science 
Bachelor of Science in Computer Engineering",22 years,"1. Python programming
2. TensorFlow
3. PyTorch
4. BERT
5. GPT-2
6. Java programming
7. JavaScript programming
8. Pandas
9. NumPy
10. Matplotlib
11. Seaborn
12. Sentiment analysis
13. Named entity recognition
14. Text classification
15. Text summarization
16. Data analysis
17. Data visualization
18. Arabic (native language)
19. English (fluent language)",NLP_LLMs Develope_4.docx,Noor Al-Thani,Reject,Overqualified
Noor Al-Thani,Female,"Master of Science in Computer Science, Specialization in AI, Qatar University, Doha, Qatar, 2018
Bachelor of Science in Computer Engineering, Qatar University, Doha, Qatar, 2016",Tech Innovate,noor.althani@example.com,linkedin.com/in/nooralthani,+974 5550 1234,Qatari,"NLP/LLMs Developer, Doha AI Solutions.","Master of Science in Computer Science 
Bachelor of Science in Computer Engineering",22 years,"1. Python programming
2. TensorFlow
3. PyTorch
4. BERT
5. GPT-2
6. Java programming
7. JavaScript programming
8. Pandas
9. NumPy
10. Matplotlib
11. Seaborn
12. Sentiment analysis
13. Named entity recognition
14. Text classification
15. Text summarization
16. Data analysis
17. Data visualization
18. Arabic (native language)
19. English (fluent language)",NLP_LLMs Develope_4.docx,Noor Al-Thani,Reject,Background professional experience not sufficient
Noor Al-Thani,Female,"Master of Science in Computer Science, Specialization in AI, Qatar University, Doha, Qatar, 2018
Bachelor of Science in Computer Engineering, Qatar University, Doha, Qatar, 2016",Tech Innovate,noor.althani@example.com,linkedin.com/in/nooralthani,+974 5550 1234,Qatari,"NLP/LLMs Developer, Doha AI Solutions.","Master of Science in Computer Science 
Bachelor of Science in Computer Engineering",22 years,"1. Python programming
2. TensorFlow
3. PyTorch
4. BERT
5. GPT-2
6. Java programming
7. JavaScript programming
8. Pandas
9. NumPy
10. Matplotlib
11. Seaborn
12. Sentiment analysis
13. Named entity recognition
14. Text classification
15. Text summarization
16. Data analysis
17. Data visualization
18. Arabic (native language)
19. English (fluent language)",NLP_LLMs Develope_4.docx,Noor Al-Thani,Accept,Has both front-end and back-end development skills
Noor Al-Thani,Female,"Master of Science in Computer Science, Specialization in AI, Qatar University, Doha, Qatar, 2018
Bachelor of Science in Computer Engineering, Qatar University, Doha, Qatar, 2016",Tech Innovate,noor.althani@example.com,linkedin.com/in/nooralthani,+974 5550 1234,Qatari,"NLP/LLMs Developer, Doha AI Solutions.","Master of Science in Computer Science 
Bachelor of Science in Computer Engineering",22 years,"1. Python programming
2. TensorFlow
3. PyTorch
4. BERT
5. GPT-2
6. Java programming
7. JavaScript programming
8. Pandas
9. NumPy
10. Matplotlib
11. Seaborn
12. Sentiment analysis
13. Named entity recognition
14. Text classification
15. Text summarization
16. Data analysis
17. Data visualization
18. Arabic (native language)
19. English (fluent language)",NLP_LLMs Develope_4.docx,Noor Al-Thani,Reject,Professional experience exceeds the required one
Sara Al-Maktoum,Female,"1. Ph.D. in Computer Science, Specialization in Natural Language Processing, New York University Abu Dhabi, Abu Dhabi, UAE, 2017
2. Master of Science in Computer Engineering, Khalifa University, Abu Dhabi, UAE, 2014
3. Bachelor of Science in Computer Science, American University in Dubai, Dubai, UAE, 2012",Abu Dhabi National Oil Company (ADNOC),sara.almaktoum@example.com,https://www.linkedin.com/in/saraalmaktoum-nlp,+971 55 678 9100,Emirati,Senior NLP/LLMs Developer.,"1. Ph.D. in Computer Science 
2. Master of Science in Computer Engineering 
3. Bachelor of Science in Computer Science",10.34 years,"1. Python programming
2. Java programming
3. C++ programming
4. NLP (Natural Language Processing)
5. LLMs (Large Language Models)
6. BERT
7. GPT-3
8. Transformer architectures
9. TensorFlow
10. PyTorch
11. NLTK (Natural Language Toolkit)
12. spaCy
13. Hugging Face's Transformers
14. Pandas
15. NumPy
16. Matplotlib
17. Data analysis
18. Data visualization
19. Cloud deployment (AWS, Azure, GCP)
20. Cloud-native AI and machine learning services
21. Data preprocessing
22. Text classification
23. Sentiment analysis
24. Language generation
25. Arabic language
26. English language",NLP_LLMs Develope_16.docx,Sara Al-Maktoum,Reject,Lacks the required number of years in working experience
Sara Al-Maktoum,Female,"1. Ph.D. in Computer Science, Specialization in Natural Language Processing, New York University Abu Dhabi, Abu Dhabi, UAE, 2017
2. Master of Science in Computer Engineering, Khalifa University, Abu Dhabi, UAE, 2014
3. Bachelor of Science in Computer Science, American University in Dubai, Dubai, UAE, 2012",Abu Dhabi National Oil Company (ADNOC),sara.almaktoum@example.com,https://www.linkedin.com/in/saraalmaktoum-nlp,+971 55 678 9100,Emirati,Senior NLP/LLMs Developer.,"1. Ph.D. in Computer Science 
2. Master of Science in Computer Engineering 
3. Bachelor of Science in Computer Science",10.34 years,"1. Python programming
2. Java programming
3. C++ programming
4. NLP (Natural Language Processing)
5. LLMs (Large Language Models)
6. BERT
7. GPT-3
8. Transformer architectures
9. TensorFlow
10. PyTorch
11. NLTK (Natural Language Toolkit)
12. spaCy
13. Hugging Face's Transformers
14. Pandas
15. NumPy
16. Matplotlib
17. Data analysis
18. Data visualization
19. Cloud deployment (AWS, Azure, GCP)
20. Cloud-native AI and machine learning services
21. Data preprocessing
22. Text classification
23. Sentiment analysis
24. Language generation
25. Arabic language
26. English language",NLP_LLMs Develope_16.docx,Sara Al-Maktoum,Accept,Has unique problem solving skills
Emily Chen,Female,"1. Ph.D. in Computer Science, Specialization in Natural Language Processing, Stanford University, Palo Alto, CA, USA, 2015
2. Master of Science in Artificial Intelligence, Massachusetts Institute of Technology (MIT), Cambridge, MA, USA, 2012
3. Bachelor of Science in Computer Science, University of California, Berkeley, CA, USA, 2010",Facebook AI Research (FAIR),emily.chen@example.com,https://www.linkedin.com/in/emilychen-nlp,+1 650-123-4567,American,"Senior NLP/LLMs Developer, Google.","1. Ph.D. in Computer Science 
2. Master of Science in Artificial Intelligence 
3. Bachelor of Science in Computer Science",11 years,"1. Python programming
2. Java programming
3. C++ programming
4. NLP libraries (NLTK, spaCy, Hugging Face’s Transformers)
5. Deep learning frameworks (TensorFlow, PyTorch)
6. Data preprocessing using Pandas
7. Data analysis using NumPy
8. Data visualization using Matplotlib
9. Cloud computing (AWS, Google Cloud Platform, Azure)
10. AI services (leveraging for enhanced performance)
11. BERT
12. GPT-3
13. Transformers
14. Semantic analysis
15. Language generation
16. Conversational AI",NLP_LLMs Develope_37.docx,Emily Chen,Reject,Professional experience exceeds the required one
Emily Chen,Female,"1. Ph.D. in Computer Science, Specialization in Natural Language Processing, Stanford University, Palo Alto, CA, USA, 2015
2. Master of Science in Artificial Intelligence, Massachusetts Institute of Technology (MIT), Cambridge, MA, USA, 2012
3. Bachelor of Science in Computer Science, University of California, Berkeley, CA, USA, 2010",Facebook AI Research (FAIR),emily.chen@example.com,https://www.linkedin.com/in/emilychen-nlp,+1 650-123-4567,American,"Senior NLP/LLMs Developer, Google.","1. Ph.D. in Computer Science 
2. Master of Science in Artificial Intelligence 
3. Bachelor of Science in Computer Science",11 years,"1. Python programming
2. Java programming
3. C++ programming
4. NLP libraries (NLTK, spaCy, Hugging Face’s Transformers)
5. Deep learning frameworks (TensorFlow, PyTorch)
6. Data preprocessing using Pandas
7. Data analysis using NumPy
8. Data visualization using Matplotlib
9. Cloud computing (AWS, Google Cloud Platform, Azure)
10. AI services (leveraging for enhanced performance)
11. BERT
12. GPT-3
13. Transformers
14. Semantic analysis
15. Language generation
16. Conversational AI",NLP_LLMs Develope_37.docx,Emily Chen,Accept,Skill set matches the one required
Ahmed El-Sayed,Male,"Ph.D. in Computer Science, Specialization in Natural Language Processing, Cairo University, Cairo, Egypt, 2015
Master of Science in Artificial Intelligence, Alexandria University, Alexandria, Egypt, 2010
Bachelor of Science in Computer Engineering, Ain Shams University, Cairo, Egypt, 2008",Vodafone Egypt,ahmed.elsayed@example.com,linkedin.com/in/ahmedelsayed-nlp,+20 100 123 4567,Egyptian,Senior NLP/LLMs Developer,"1. Ph.D. in Computer Science 
2. Master of Science in Artificial Intelligence 
3. Bachelor of Science in Computer Engineering",12.25 years,"1. Python programming
2. Java programming
3. C++ programming
4. NLP libraries (NLTK, spaCy, Hugging Face's Transformers)
5. Machine learning algorithms
6. Deep learning frameworks (TensorFlow, PyTorch)
7. Neural network architectures
8. Pandas
9. NumPy
10. Matplotlib
11. Data visualization
12. Data preprocessing
13. Data analysis
14. Large language models (BERT, GPT-3, Transformer architectures)
15. Text summarization
16. Sentiment analysis
17. Language generation
18. Chatbot development
19. Arabic language processing
20. Arabic language sentiment analysis",NLP_LLMs Develope_34.docx,Ahmed El-Sayed,Reject,Overqualified
Ahmed El-Sayed,Male,"Ph.D. in Computer Science, Specialization in Natural Language Processing, Cairo University, Cairo, Egypt, 2015
Master of Science in Artificial Intelligence, Alexandria University, Alexandria, Egypt, 2010
Bachelor of Science in Computer Engineering, Ain Shams University, Cairo, Egypt, 2008",Vodafone Egypt,ahmed.elsayed@example.com,linkedin.com/in/ahmedelsayed-nlp,+20 100 123 4567,Egyptian,Senior NLP/LLMs Developer,"1. Ph.D. in Computer Science 
2. Master of Science in Artificial Intelligence 
3. Bachelor of Science in Computer Engineering",12.25 years,"1. Python programming
2. Java programming
3. C++ programming
4. NLP libraries (NLTK, spaCy, Hugging Face's Transformers)
5. Machine learning algorithms
6. Deep learning frameworks (TensorFlow, PyTorch)
7. Neural network architectures
8. Pandas
9. NumPy
10. Matplotlib
11. Data visualization
12. Data preprocessing
13. Data analysis
14. Large language models (BERT, GPT-3, Transformer architectures)
15. Text summarization
16. Sentiment analysis
17. Language generation
18. Chatbot development
19. Arabic language processing
20. Arabic language sentiment analysis",NLP_LLMs Develope_34.docx,Ahmed El-Sayed,Reject,Professional experience and educational level exceeds the reqired one
Arjun Patel,Male,"Master of Science in Artificial Intelligence, Indian Institute of Technology Bombay (IIT Bombay), Mumbai, India, 2017
Bachelor of Engineering in Computer Science, National Institute of Technology Karnataka (NITK), Surathkal, India, 2015",Tech Solutions Pvt. Ltd.,arjun.patel@example.com,https://www.linkedin.com/in/arjunpatel,+91 98200 12345,Indian,Senior NLP/LLMs Developer.,"Master of Science in Artificial Intelligence 
Bachelor of Engineering in Computer Science",8.0834 years,"1. Python
2. Java
3. C++
4. TensorFlow
5. PyTorch
6. Docker
7. Kubernetes
8. AWS
9. Azure
10. NLTK
11. spaCy
12. Hugging Face's Transformers
13. BERT
14. GPT-3
15. T5",NLP_LLMs Develope_7.docx,Arjun Patel,Reject,Android development background is weak
Arjun Patel,Male,"Master of Science in Artificial Intelligence, Indian Institute of Technology Bombay (IIT Bombay), Mumbai, India, 2017
Bachelor of Engineering in Computer Science, National Institute of Technology Karnataka (NITK), Surathkal, India, 2015",Tech Solutions Pvt. Ltd.,arjun.patel@example.com,https://www.linkedin.com/in/arjunpatel,+91 98200 12345,Indian,Senior NLP/LLMs Developer.,"Master of Science in Artificial Intelligence 
Bachelor of Engineering in Computer Science",8.0834 years,"1. Python
2. Java
3. C++
4. TensorFlow
5. PyTorch
6. Docker
7. Kubernetes
8. AWS
9. Azure
10. NLTK
11. spaCy
12. Hugging Face's Transformers
13. BERT
14. GPT-3
15. T5",NLP_LLMs Develope_7.docx,Arjun Patel,Accept,Skill set matches the one required
Arjun Patel,Male,"Master of Science in Artificial Intelligence, Indian Institute of Technology Bombay (IIT Bombay), Mumbai, India, 2017
Bachelor of Engineering in Computer Science, National Institute of Technology Karnataka (NITK), Surathkal, India, 2015",Tech Solutions Pvt. Ltd.,arjun.patel@example.com,https://www.linkedin.com/in/arjunpatel,+91 98200 12345,Indian,Senior NLP/LLMs Developer.,"Master of Science in Artificial Intelligence 
Bachelor of Engineering in Computer Science",8.0834 years,"1. Python
2. Java
3. C++
4. TensorFlow
5. PyTorch
6. Docker
7. Kubernetes
8. AWS
9. Azure
10. NLTK
11. spaCy
12. Hugging Face's Transformers
13. BERT
14. GPT-3
15. T5",NLP_LLMs Develope_7.docx,Arjun Patel,Reject,Overqualified
Alexandre Dupont,Male,"1. Ph.D. in Computer Science, Specialization in Natural Language Processing, Sorbonne Université, Paris, France, 2015
2. Master of Science in Artificial Intelligence, École Normale Supérieure, Paris, France, 2012
3. Bachelor of Science in Computer Science, Université de Technologie de Compiègne, Compiègne, France, 2010",INRIA,alexandre.dupont@example.com,linkedin.com/in/alexandredupont-nlp,+33 6 12 34 56 78,French,Senior NLP/LLMs Developer.,"1. Ph.D. in Computer Science
2. Master of Science in Artificial Intelligence
3. Bachelor of Science in Computer Science",11.83 years.,"1. Python programming
2. Java programming
3. C++ programming
4. Hugging Face Models Mastery
5. BERT
6. GPT-3
7. TensorFlow
8. PyTorch
9. Pandas
10. NumPy
11. Matplotlib
12. NLTK
13. spaCy
14. AWS cloud computing
15. Google Cloud Platform
16. Azure cloud computing
17. Data manipulation
18. Numerical analysis
19. Data visualization
20. Machine learning principles",NLP_LLMs Develope_40.docx,Alexandre Dupont,Reject,Overqualified
Alexandre Dupont,Male,"1. Ph.D. in Computer Science, Specialization in Natural Language Processing, Sorbonne Université, Paris, France, 2015
2. Master of Science in Artificial Intelligence, École Normale Supérieure, Paris, France, 2012
3. Bachelor of Science in Computer Science, Université de Technologie de Compiègne, Compiègne, France, 2010",INRIA,alexandre.dupont@example.com,linkedin.com/in/alexandredupont-nlp,+33 6 12 34 56 78,French,Senior NLP/LLMs Developer.,"1. Ph.D. in Computer Science
2. Master of Science in Artificial Intelligence
3. Bachelor of Science in Computer Science",11.83 years.,"1. Python programming
2. Java programming
3. C++ programming
4. Hugging Face Models Mastery
5. BERT
6. GPT-3
7. TensorFlow
8. PyTorch
9. Pandas
10. NumPy
11. Matplotlib
12. NLTK
13. spaCy
14. AWS cloud computing
15. Google Cloud Platform
16. Azure cloud computing
17. Data manipulation
18. Numerical analysis
19. Data visualization
20. Machine learning principles",NLP_LLMs Develope_40.docx,Alexandre Dupont,Accept,Skill set has displayed experience in NLP and research
